temperature,humidity,wind_speed,appliances,time_of_day,day_of_week,energy_consumption
24.36350297118406,66.0310116260192,8.31339771198025,4,Night,Fri,25.36542871189711
38.767857660247905,69.90220047277532,0.07844420314369105,1,Afternoon,Thu,37.33092764914823
33.29984854528513,40.522276717406974,11.414861400421408,2,Afternoon,Sat,29.352114151184402
29.966462104925917,84.8647167554976,0.529670324103586,1,Morning,Fri,34.96269349322259
18.900466011060914,55.12623149352439,11.186006740968482,4,Evening,Wed,22.837731081455466
18.899863008405067,52.98831169496985,3.0372084024785613,4,Night,Mon,26.977770544619837
16.452090304204987,61.13506231697025,14.371102201790704,7,Afternoon,Wed,23.573629311864597
36.654403644373375,32.817958006503304,5.519111269531267,9,Morning,Thu,36.8114921020865
30.02787529358022,39.97700212536476,4.903974245071186,9,Night,Wed,34.659911928310805
32.70181444490114,74.28201698558223,2.23332075498667,5,Afternoon,Fri,36.016708041586455
15.51461235739506,34.967920075507585,4.584063232353223,1,Night,Wed,16.286734178686952
39.247746304049855,66.1891265679833,13.149761427423009,1,Morning,Thu,37.33843831570317
35.81106602001054,44.72094658087926,14.94501506440871,6,Morning,Thu,37.27835440386775
20.308477766956905,53.35773684251859,5.524642957602725,2,Night,Thu,18.96730703415997
19.545624180177516,47.32162420624199,6.729159464318139,8,Evening,Fri,22.28286374499421
19.585112746335845,51.34036298789695,10.831064073041055,9,Night,Thu,23.586674349234656
22.60605607398844,73.14275431105473,13.292936706976118,4,Afternoon,Mon,25.557067363484506
28.11891079080595,47.8273029373905,8.895665012801762,5,Evening,Sun,28.710151436567443
25.798625466052894,63.98427841781383,5.87288547266744,8,Afternoon,Thu,28.24697316188711
22.28072850495105,58.56302413194598,6.189327612729356,3,Night,Wed,25.08336243159743
30.296322368059485,69.8202699217589,10.434272197452103,5,Evening,Sat,32.64416103080849
18.487346516301045,86.20978435948548,0.048273954064180224,3,Afternoon,Wed,22.338224413756823
22.303616213380455,73.95432583261501,9.29384006189761,3,Night,Sat,23.884630651987244
24.159046082342293,42.896422715445404,5.332395156620361,3,Night,Wed,23.495601796914958
26.4017496054259,31.87098810367708,11.912959969156264,7,Evening,Fri,26.742286765906616
34.62939903482534,45.73584265798951,1.3948595973469824,7,Night,Wed,37.43779194583442
19.991844553958995,65.70467584201529,8.823034004225857,7,Morning,Fri,23.521723671961585
27.85586096034029,33.08554880905502,7.2145933482918565,8,Afternoon,Fri,30.79774714211062
29.810364221551062,59.781974832074184,9.63488288857841,5,Afternoon,Thu,34.42141091138863
16.161260317999943,65.81057093501335,0.9728039172445252,5,Night,Mon,19.695021311771917
30.18862129753596,50.05463344901765,8.699756811421969,4,Night,Sat,32.13503299191804
19.263103092182288,76.25473222474932,8.422268819392857,7,Morning,Thu,25.930637117054637
16.62628982463199,36.39589518802631,8.409901416242564,4,Evening,Thu,19.273761745629013
38.722138431333335,34.50826690414853,9.052314998946823,2,Night,Sun,35.643820974083596
39.14080082686398,73.6913253722162,10.147019058395433,4,Night,Fri,38.327393791560134
35.20993370291153,59.72947897237191,12.074834995211546,8,Night,Fri,37.5439728485347
22.61534422933427,71.30414378566417,4.047310801923215,9,Night,Sat,27.621254676299174
17.441802850159597,56.089640316224774,12.37574115270093,3,Afternoon,Wed,19.740838538207093
32.10582566280392,44.78412199434641,7.473835233951805,7,Night,Wed,32.33341463839347
26.003812343490033,79.14613906045199,1.1558741870149674,9,Afternoon,Thu,33.83166701396782
18.05095587111947,77.96495273813875,0.878263938659688,4,Night,Tue,18.400017476445626
27.379422752781757,71.6817882512656,5.013574780440912,3,Evening,Tue,29.29973419703965
15.85971302788046,46.32870823379776,11.773454656672014,5,Morning,Wed,19.887379236838814
37.73301005196955,65.41384001214523,10.615214021113736,1,Evening,Tue,35.399131970534974
21.469499540000424,51.65843381640161,11.829224470086096,3,Night,Sun,24.58751922055139
31.56305710884955,35.49492439959805,7.7590358466241405,8,Night,Wed,32.73294472697365
22.792776902235275,85.03881452773456,6.602984969332359,8,Night,Fri,29.31702993731905
28.00170052944527,38.209117855137684,2.2117879005942593,4,Evening,Thu,24.40873253994019
28.66775698358199,87.01424122924814,4.922891304139673,2,Night,Mon,28.494283884057552
19.621361388138176,56.76034637747735,6.510290492608129,8,Evening,Thu,26.576579291734852
39.239615694113965,41.10797573031718,1.3290064451942585,8,Afternoon,Wed,37.168767870734065
34.37832058402786,62.514056842701486,3.309179290668169,4,Morning,Sun,34.45784604345885
38.48747353910473,82.37675015258449,8.973379410956083,3,Morning,Wed,36.36378219514541
37.37068376069122,73.93349318457368,11.034946713587848,2,Evening,Thu,35.50124772423819
29.94749947027713,78.39366887168698,14.975212670894244,9,Afternoon,Sun,33.74232804228286
38.04685587557792,69.52700200264304,13.996699970153365,1,Evening,Sun,32.88944359200762
17.212312551297988,71.53659387107115,9.638477993027873,7,Afternoon,Sun,23.81868636451155
19.89957156047863,80.95173909391916,6.31872079941108,5,Night,Sat,24.128050679029368
16.13068222276345,44.98008053155115,9.54266047062349,8,Afternoon,Wed,22.778808044162716
