Age,Experience_Years,Average_Hours_Worked,Task_Completion_Rate,Performance
38.47699907107863,16.99677718293001,36.624108625128095,65.9219244212261,Poor
34.03214989180171,14.623168414563844,39.27740664642241,76.39614989220499,Poor
39.533819766704845,10.29815184960087,36.03790039500019,80.86394466578356,Good
45.66120899485618,6.7653161114721305,38.4601923518048,100.0,Good
33.360926376936646,13.49111656806795,30.531926665231072,90.56553124533758,Poor
33.36104130135573,11.967426927108749,41.06646853686469,71.64518430900108,Poor
46.05448970855174,14.475966100138661,40.00602737681112,89.86036289417638,Good
40.372043104070364,13.175859008409848,35.914556844659046,69.52696011061634,Poor
31.713679298455336,15.247763576596675,43.296228342162024,95.82691053887073,Good
38.797920305101755,7.32382394219716,44.68785068813279,80.28875348182122,Good
31.756076150312765,16.586970328171628,31.962200678155128,84.06363811260829,Poor
31.739891725008203,10.987998023461998,36.186376107168925,98.2579664754219,Good
36.69373590096224,20.376304363126327,36.154288251063505,72.1283643141575,Poor
21.607038287395415,6.5540609095521605,35.300484494455674,71.02881814887009,Poor
22.92557517240877,18.679819015826247,44.14737420965874,79.16400673653995,Poor
31.06398729531319,10.98955391731324,39.03086930613598,95.38378851019317,Good
27.910182157659033,6.742909981927758,38.67742579344694,69.80653924523158,Poor
37.19973132816692,7.5805708297283925,29.980688177966233,56.67844401889431,Poor
28.643831471351525,8.3982634590284,43.17709015104613,80.48841141591001,Good
25.11387409065296,12.120829732009582,33.80370802573264,90.51740799910921,Poor
45.25954138245088,12.614177440177498,40.29966315133164,97.00261749738829,Good
33.41956589659425,7.131499980307105,41.38688468979096,80.36838637914602,Good
35.472697432815465,9.878227038695085,46.80329297919326,80.88573392883998,Good
25.026762696505802,20.71135179305932,33.45589800440444,96.53900734255747,Poor
31.18932092832372,18.637715850503557,24.90243922089587,66.3025830030458,Poor
35.776458127969065,12.181618348370161,40.91924772376847,81.1147922481699,Good
26.94304495804388,10.190017390841001,49.00255590755427,86.90423889925057,Good
37.629886128419706,10.600156633591306,46.19473176469719,89.49218721285034,Good
30.795529170568365,13.067589863652083,41.04829707637313,79.90193306809117,Poor
32.95814375144706,4.886037174007972,37.54181907183976,85.34441011705842,Poor
30.788053714394223,8.713117312883274,44.03561298318655,60.1167264658701,Poor
47.965947291562564,1.6570796306120528,35.13226900147766,78.41751587666151,Poor
34.90551942683446,11.996115613026397,42.3817888467811,89.53508712554468,Good
27.5960234973087,13.235979698513706,42.52735079583314,75.1770596574532,Poor
40.75781438472232,7.58406768850313,45.3010495374944,85.58984221589597,Good
26.454094450202845,17.869933816450164,53.79830019455539,89.46872500802698,Good
36.46204516503329,3.871171684988294,41.96207983589383,81.57450799142235,Poor
21.28230913284157,2.678125598950899,37.45518187146251,86.70463770996571,Poor
25.702697657710985,11.12225909279986,39.872128439040026,75.37267434715388,Poor
36.378028651083866,15.235491513060772,31.15462047555441,82.93388720303953,Poor
40.169266059967875,18.419638457289345,36.52643434455471,91.10216169589222,Good
36.19957796832979,7.7055786856553,37.95358780943448,86.56972960968434,Good
34.190462023282315,15.39340416715648,37.37955801032704,79.13468730436064,Poor
32.89227413087498,9.807457652496463,40.76177436016861,87.24216404290793,Good
24.65034606742801,9.136863500295902,35.887900338089,92.14609790636618,Good
29.96109054123704,14.418299687433361,45.60515333662236,64.50058721422522,Poor
31.775528603281487,13.261614392067099,40.00103532459099,96.59074064955898,Good
42.399855583532414,2.1180392150787526,39.953498394306926,81.63745261318928,Poor
37.40532802697923,17.38270174862948,38.36052641743541,89.2548993324023,Good
22.658718912460863,16.900456770737257,40.77595341929489,96.97246923645228,Good
37.268587785763565,6.872186492452353,44.125491323338174,71.28326302769534,Poor
32.30442403708578,11.979017667187046,35.664348921445495,77.90558997572454,Poor
30.26154599785829,12.470150931413695,36.70941755462372,82.11451304124296,Good
39.28173402188607,11.303368829119535,38.48136985611668,77.16246478875571,Poor
42.216996657471654,7.248474230772899,33.27064538263392,100.0,Poor
41.51896083381339,6.641883160309742,35.90371070139251,76.43227906173207,Poor
29.12547733744153,9.872229645042774,37.618895632276704,79.44453220513134,Poor
32.8355133690415,15.863645096296823,44.371945903563635,87.04389031602977,Good
37.31884401982495,12.718000772972161,41.31280664500962,72.97850473923911,Poor
41.828815889856514,8.14692833956947,40.96794955683772,81.04319288243737,Good
31.64578033508297,13.858493553241724,44.25448981083986,88.17453261250175,Good
33.70038716335328,0.0,39.31314105800302,81.67139595617489,Poor
27.255655181957803,15.743828501860516,41.95232424964445,84.06613141100051,Good
26.626553631435304,1.3014311061095025,39.483891235337516,79.70667887551629,Poor
40.687680756759384,8.187795292984339,41.32681174699814,69.85529690819233,Poor
44.49368019999576,4.401650526869281,37.08620671194209,88.21593211339238,Poor
34.49592914893766,3.526592621395471,27.805914208617857,100.0,Poor
42.02473028524417,15.804133936892597,39.32860418906848,85.18401630783438,Good
37.53145217533344,7.661493993440543,47.1137406804997,87.25264117247549,Good
30.48416171776413,11.732519408653578,44.631077011207964,91.9272275511686,Good
37.5297692385589,9.76539710560408,44.82698742295585,72.306695034533,Poor
45.766255965261784,12.385204136115608,46.18065360903109,100.0,Good
34.74921772623034,10.384109455301276,40.44328795480719,87.02328796422802,Good
45.952505590698046,3.5850388790571515,40.98657853702798,100.0,Poor
16.66178427137179,14.981334097235699,36.91174052282825,77.66967004476011,Poor
40.75331753062657,7.531217084193438,38.41963571986475,100.0,Good
35.609329477667195,2.217090506701245,43.07885574885571,92.75155494034783,Poor
32.90694854673893,7.859424195170437,46.01942218584408,90.53040085852358,Good
35.64232543574852,17.503798953171554,39.302768621595,87.34024454353148,Good
21.08701759779375,14.251108710567465,37.74905367574294,82.5147138192555,Good
33.46229678513742,8.256739327960704,40.002639794282985,97.00531658473872,Good
37.49978800058223,8.253711478407856,43.00603374464558,86.40359869848047,Good
45.34525831319061,8.391824743913087,32.78072591933229,65.32930296412847,Poor
31.37210847208447,20.383739917804206,28.51909523431381,73.82813538292997,Poor
29.340544779747688,11.909677261157768,37.24731575254208,83.14154247807252,Good
31.487700694908245,12.150208235955349,33.89643787042921,88.09998983165555,Poor
41.40781482391452,15.151417270159211,37.45929901176345,84.43411511100105,Good
37.30125776761779,11.193945795132567,39.26109840591264,97.18970789793663,Good
31.29167857363073,8.704789270896484,37.733757954884936,65.48898135961375,Poor
38.59287203179349,9.018250754575108,47.26233767235372,86.4358793650516,Good
35.67954284543628,9.64199370292968,41.6337238230116,66.82020774612846,Poor
41.780514933730224,9.813888817450792,41.50237179805414,92.59712295484168,Good
30.085628342858534,13.6381477181849,43.11103572021701,84.05541285557997,Good
32.706364973815624,10.259729429036497,34.30583441109616,89.19609972024118,Poor
32.2552429280749,13.663200386077897,45.195558937101346,76.36117039410234,Poor
24.75539536307517,9.596417099457089,39.6211785673227,97.7946493165775,Good
37.07284193945203,10.393175951580453,43.35240308620606,95.41724664058852,Good
36.827386905259225,0.008996577339461354,34.64071383479922,90.83544303011888,Poor
35.03579419649723,14.581638373512408,32.23120616991968,83.7048275313656,Poor
