Temperature,Vibration,RPM,Pressure,Status
79.96714153011233,3.7506270447807983,1463.420711779032,26.391312233313734,Normal
73.61735698828815,2.5871642174261007,1774.975283829637,30.88410436069699,Faulty
81.47688538100692,3.0768966215527866,1370.807164175093,27.266599577063673,Normal
90.23029856408026,2.630179769035966,1340.1615986699494,28.641724448369732,Faulty
72.65846625276664,2.6524030180541476,1403.4512955635935,38.36726045149268,Faulty
72.6586304305082,2.7526623012250884,1309.3342783482576,36.70230525895174,Normal
90.79212815507391,3.1777070173069704,1524.534063198959,23.502093815362013,Faulty
82.67434729152909,2.617001102669218,1824.935691693912,34.14866208939587,Faulty
70.30525614065049,4.0046049004588165,1564.615854623206,34.05698277245796,Normal
80.42560043585965,2.284314158224397,1449.5292995747425,24.25868355623691,Normal
70.36582307187538,2.850502684670913,1441.6377462168912,34.0938882187743,Normal
70.34270246429743,2.64821515338066,1187.3618382606687,37.68965959206277,Normal
77.41962271566034,4.157582307482986,1676.6219554294319,24.38727596877793,Normal
55.86719755342202,3.15724382120926,1484.4325605974395,25.412485894928682,Normal
57.75082167486967,3.825475631574908,1463.904017281875,35.08830733421751,Normal
69.37712470759027,1.8115517015704223,2138.621513568972,31.35747655412824,Faulty
64.87168879665576,3.213640212695407,1559.7505816731373,32.757381376197614,Normal
78.14247332595274,3.71170463649875,1349.641789980963,31.702946082002484,Normal
65.91975924478788,3.065827191420339,1414.7284807588912,31.95347960464072,Normal
60.87696298664709,3.852384300052281,1729.689141839351,23.367639358444585,Faulty
89.65648768921554,2.5861692399197023,1522.654082107553,35.23658853310724,Faulty
72.74223699513465,4.127477952148464,1212.3444043365266,35.84794996213887,Normal
75.67528204687923,4.839118498895401,1683.8457869150407,28.85304627965986,Faulty
60.75251813786544,2.709729151648273,1366.3711828922012,29.78261525093069,Normal
69.55617275474818,2.6435979828793825,1874.6595552435092,22.34446248722139,Faulty
76.10922589709867,4.1627075816941606,1716.0096131429298,32.57127378008917,Faulty
63.490064225776976,4.26365771658457,1410.5356208682497,32.86028720857072,Normal
78.75698018345672,2.581711978277385,1756.2032723470224,29.689044915003446,Faulty
68.99361310081196,2.663850546323314,1513.5711021054806,35.621766799352514,Normal
72.08306250206724,2.7745723129115945,1670.554735024444,28.329613845100297,Normal
68.98293387770603,1.9244395911725782,1596.946563458895,32.823029629468,Normal
