Engine RPM,Actual Vibration (mm/s),Predicted Vibration (mm/s)
500.0,3130.200783230062,3128.872022231621
504.5045045045045,3117.7038772153114,3117.64864187547
509.009009009009,3108.0687809108213,3106.4451897993963
513.5135135135135,3098.632406754204,3095.2616642069775
518.018018018018,3083.9509267829903,3084.0980633292907
522.5225225225225,3072.8037875165346,3072.954385425048
527.027027027027,3065.303254517398,3061.8306287807313
531.5315315315315,3052.572403538082,3050.7267917107274
536.0360360360361,3039.01122644687,3039.6428725574556
540.5405405405405,3029.9678706273567,3028.5788696914965
545.0450450450451,3016.908422924316,3017.5347815117198
549.5495495495495,3005.876237315769,3006.510606445406
554.0540540540541,2996.283988946322,2995.5063429483707
558.5585585585586,2980.985798914909,2984.521989505082
563.063063063063,2970.3947445439003,2973.5575446287785
567.5675675675676,2961.772150171332,2962.6130068615835
572.072072072072,2949.9431306684696,2951.688374774622
576.5765765765766,2941.689276384201,2940.7836469681242
581.081081081081,2928.3566420104844,2929.898822071541
585.5855855855856,2916.4799093662123,2919.033898743645
590.0900900900901,2911.38755764135,2908.188875672636
594.5945945945946,2897.17636615719,2897.3637515762457
599.0990990990991,2886.954547765447,2886.5585252018295
603.6036036036036,2873.181480178589,2875.773195326473
608.1081081081081,2864.173607578414,2865.007760757077
612.6126126126126,2854.7355246800803,2854.2622203304586
617.1171171171171,2841.482907561894,2843.5365729134337
621.6216216216217,2833.8274134895123,2832.830817402911
626.1261261261261,2821.1857691372807,2822.144952725974
630.6306306306307,2811.13459324944,2811.4789778399627
635.1351351351351,2799.86540579476,2800.83289173256
639.6396396396397,2794.1441165987617,2790.2066934218615
644.1441441441441,2779.803208864628,2779.600381956461
648.6486486486486,2767.1253253794407,2769.0139564155174
653.1531531531532,2760.31628082038,2758.4474159088286
657.6576576576576,2745.679846319018,2747.9007595768985
662.1621621621622,2738.009501355908,2737.373986591008
666.6666666666667,2723.162571481279,2726.867096153272
671.1711711711712,2713.935573334579,2716.38008749671
675.6756756756756,2706.5155969036537,2705.912959885297
680.1801801801802,2697.148631075732,2695.465712614025
684.6846846846847,2685.584151666465,2685.0383450089594
689.1891891891892,2674.599728684613,2674.630856427286
693.6936936936937,2663.838320245185,2664.243246257362
698.1981981981983,2651.112877601314,2653.8755139187697
702.7027027027027,2642.2795180190774,2643.5276588623524
707.2072072072071,2632.467104037758,2633.199680570261
711.7117117117117,2625.191690880265,2622.8915785559966
716.2162162162163,2613.4736370063347,2612.603352364443
720.7207207207207,2598.9891627465227,2602.3350015719066
725.2252252252252,2592.9121417688484,2592.0865257861446
729.7297297297298,2581.2624277295386,2581.857924646402
734.2342342342342,2570.467254015015,2571.6491978234303
738.7387387387388,2562.8528431936784,2561.460345019522
743.2432432432432,2553.519768779409,2551.291365968528
747.7477477477478,2543.1684952848486,2541.1422604358822
752.2522522522522,2529.495551214695,2531.0130282186133
756.7567567567568,2520.44349836768,2520.903669145369
761.2612612612613,2511.6322722584023,2510.8141830764216
765.7657657657658,2502.84854315116,2500.744569903684
770.2702702702702,2489.8866969876863,2490.6948295507154
774.7747747747749,2480.441205014596,2480.664961972729
779.2792792792793,2468.5872153684104,2470.6549671565936
783.7837837837837,2458.4147191995075,2460.6648451208353
788.2882882882883,2452.459315978177,2450.6945959156365
792.7927927927929,2443.593761035388,2440.744219622832
797.2972972972973,2430.8041621766824,2430.813716355903
801.8018018018017,2423.0420345244947,2420.903086259967
806.3063063063064,2411.8649120584014,2411.012329511766
810.8108108108108,2399.977956885798,2401.141446319657
815.3153153153153,2392.137429269118,2391.2904369235916
819.8198198198198,2384.657038332694,2381.4593015950977
824.3243243243244,2371.6955259768283,2371.648040637262
828.8288288288288,2365.1025642035,2361.856654384702
833.3333333333334,2346.959771802801,2352.085143203543
837.8378378378379,2344.0889387546904,2342.33350749139
842.3423423423424,2332.884986599571,2332.601747677294
846.8468468468468,2322.398523860614,2322.889864221723
851.3513513513514,2313.4855940261896,2313.1978576165216
855.8558558558559,2299.6523568331227,2303.5257283848773
860.3603603603603,2293.5334618506504,2293.873477081277
864.8648648648649,2285.052231037918,2284.2411042914655
869.3693693693695,2277.678884119851,2274.6286106324
873.8738738738739,2264.091536191059,2265.035996752202
878.3783783783783,2253.935961108156,2255.4632633301085
882.8828828828829,2244.994197661959,2245.9104110764147
887.3873873873874,2238.29317186069,2236.377440732426
891.8918918918919,2227.60441888617,2226.864353070396
896.3963963963964,2216.391839222975,2217.3711488934673
900.900900900901,2209.0022321713686,2207.897829035611
905.4054054054054,2198.714085610451,2198.4443943615593
909.90990990991,2191.021350084483,2189.010845766742
914.4144144144144,2178.263980777434,2179.597184177215
918.918918918919,2169.6166877208534,2170.203410549588
